itemCollection_systemStores_MechParts_common_Medium,,,
mechdef_assassin_ASN-21,MechPart,1,5
mechdef_assassin_ASN-22,MechPart,1,2
mechdef_assassin_ASN-SB,MechPart,1,2
mechdef_cicada_CDA-2A,MechPart,1,3
mechdef_cicada_CDA-2B,MechPart,1,1
mechdef_cicada_CDA-2C,MechPart,1,1
mechdef_blackjack_BJ-1,MechPart,1,4
mechdef_blackjack_BJ-1DC,MechPart,1,1
mechdef_phoenixhawk_PXH-1,MechPart,1,5
mechdef_crab_CRB-27,MechPart,1,3
mechdef_trebuchet_TBT-5N,MechPart,1,4
mechdef_shadowhawk_SHD-2H,MechPart,1,5
mechdef_shadowhawk_SHD-3H,MechPart,1,2
mechdef_centurion_CN9-A,MechPart,1,4
mechdef_centurion_CN9-AL,MechPart,1,4
mechdef_centurion_CN9-AH,MechPart,1,4
mechdef_vulcan_VL-2T,MechPart,1,4
mechdef_vulcan_VL-3T,MechPart,1,2
mechdef_vulcan_VL-4T,MechPart,1,2
