itemCollection_shopItems_starleague,,,
Weapon_Gauss_Gauss_0-STOCK,Weapon,1,1
Weapon_Laser_LargeLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_MediumLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_SmallLaserER_0-STOCK,Weapon,1,1
Weapon_Laser_LargeLaserPulse_0-STOCK,Weapon,1,1
Weapon_Laser_MediumLaserPulse_0-STOCK,Weapon,1,1
Weapon_Laser_SmallLaserPulse_0-STOCK,Weapon,1,1
Weapon_PPC_PPCER_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC2_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC5_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC10_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC20_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB2X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB5X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB10X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB20X_0-STOCK,Weapon,1,1
Weapon_PPC_PPCSnub_0-STOCK,Weapon,1,4
Weapon_Narc_Standard_0-STOCK,Weapon,1,3
Weapon_TAG_Standard_0-STOCK,Weapon,1,3
Gear_Sensor_Prototype_ActiveProbe,Upgrade,1,1
Gear_Sensor_Prototype_ECM,Upgrade,1,1
Weapon_Autocannon_UAC5_1-Mydron,Weapon,1,1
Weapon_Autocannon_UAC5_2-Mydron,Weapon,1,1
Weapon_Autocannon_LB10X_1-Western,Weapon,1,1
Weapon_Autocannon_LB10X_2-Western,Weapon,1,1
Weapon_Autocannon_UAC2_0-STOCK,Weapon,3,1
Weapon_Autocannon_UAC5_0-STOCK,Weapon,2,1
Weapon_Autocannon_UAC10_0-STOCK,Weapon,1,1
Weapon_Autocannon_UAC20_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB2X_0-STOCK,Weapon,3,1
Weapon_Autocannon_LB5X_0-STOCK,Weapon,2,1
Weapon_Autocannon_LB10X_0-STOCK,Weapon,1,1
Weapon_Autocannon_LB20X_0-STOCK,Weapon,1,1
Gear_HeatSink_Generic_Double,HeatSink,1,2
Ammo_AmmunitionBox_Generic_LB2X,AmmunitionBox,1,2
Ammo_AmmunitionBox_Generic_LB5X,AmmunitionBox,1,2
Ammo_AmmunitionBox_Generic_LB10X,AmmunitionBox,1,2
Ammo_AmmunitionBox_Generic_LB20X,AmmunitionBox,1,2
Ammo_AmmunitionBox_Generic_GAUSS,AmmunitionBox,1,2
Ammo_AmmunitionBox_Generic_Narc,AmmunitionBox,1,2
