itemCollection_Mechs_Starting_Davion_Medium,,,
mechdef_vulcan_VL-2T,Mech,1,16
mechdef_cicada_CDA-2A,Mech,1,16
mechdef_assassin_ASN-21,Mech,1,16
mechdef_assassin_ASN-101,Mech,1,3
mechdef_shadowhawk_SHD-2D,Mech,1,63
mechdef_blackjack_BJ-1DC,Mech,1,3
mechdef_vulcan_VL-5T,Mech,1,8
mechdef_centurion_CN9-A,Mech,1,204
mechdef_centurion_CN9-AH,Mech,1,10
mechdef_blackjack_BJ-1,Mech,1,50
mechdef_trebuchet_TBT-5S,Mech,1,4
mechdef_blackjack_BJ-1DB,Mech,1,3
mechdef_enforcer_ENF-4R,Mech,1,52
mechdef_phoenixhawk_PXH-1,Mech,1,48
mechdef_hunchback_HBK-4G,Mech,1,22
mechdef_centurion_CN9-AL,Mech,1,8
mechdef_shadowhawk_SHD-2H,Mech,1,30
mechdef_hunchback_HBK-4H,Mech,1,3
mechdef_phoenixhawk_PXH-1D,Mech,1,30
mechdef_hunchback_HBK-4N,Mech,1,3
mechdef_wolverine_WVR-6R,Mech,1,30
mechdef_wolverine_WVR-6D,Mech,1,23
mechdef_hunchback_HBK-4P,Mech,1,3
mechdef_crab_CRB-27,Mech,1,8
mechdef_hunchback_HBK-4J,Mech,1,102
mechdef_kintaro_KTO-18,Mech,1,30
mechdef_trebuchet_TBT-5N,Mech,1,16
mechdef_griffin_GRF-1N,Mech,1,104
